"Русский Season 18 Последнее обновление:
26 июня, 2026 Эта работа стала возможной благодаря Дж. С. Миллю и его оригинальной таблице здесь Марка и модель","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Требуемое DLC","Нужно ли открывать","Открывается по","Требуемый уровень","Находится в регионе","Находится на карте","Название контракта/поручения для открытия","Класс авто","Цена в магазине грузовиков","Тип привода","Полный привод","Блокировка дифференциала","Диаметр колёс в стоке (дюймы)","Scale stock","Макс. диаметр колёс (дюймы)","Scale max","Объем бака (л)","Крут. момент топ движка","Полная масса c колёсами","Отношение момент/масса","Коробки передач","Лебёдки","Поворотные оси","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Высокая подвеска","Заказная подвеска","Crawler
Suspension","Активная подвеска","Спаренные вседорожные шины","Одинарные вседорожные шины","Спаренные внедорожные шины","Одинарные внедорожные шины","Шины для грязи","Болотные шины","Шины с цепями","Масса каждой шины","Умножение массы для задней оси","VladVulcan рекомендует","Грузовые прицепы","Скаутские прицепы","Сельхоз прицепы","Низкое седло","Бочки под низкое седло","Высокое седло","Бочка под высокое седло","Манипулятор","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Большой кран","Сверхтяжелый кран","Кран для бревен","1-слотовая платформа","2-слотовая платформа","3-слотовая платформа","4-слотовая платформа","КОМБО: кран + седло ","Модуль для коротких брёвен","Модуль для средних брёвен","Роспуск для длинных брёвен","КОМБО: кран ЛП-4 и низкое седло","Прицепы-лесовозы Futom","Складной полуприцеп-лесовоз (длинные бревна)","Бак для топлива (л)","Бак для воды (л)","Ремонтный кунг (ремонт - запаски)","Сервисный модуль для ТО (ремонт - запаски - литры)","Многоцелевой грузовой модуль
(ремонт - запаски - литры)","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Багажник на крышу и/или в кузов (ремонт - запаски - литры)","Максимум припасов
(ремонт - запаски - литры)","Запасное колесо (шт.)","Сейсмовибратор","Металло-
детектор","КОМБО: детектор + что-то еще","Платформа эвакуатора","Базовый движок","Крутящий
момент в стоке","Отношение
крут. момент/масса
в стоке","Имя файла грузовика
в архиве игры","","",""
"Azov 5319","","TRUE","Уровень водителя","14","","","","Вездеход","$82 100","8x8","Постоянный","Постоянная","50","0,63","50","0,63","200","210000","16033","13,10","Грузовые","Средние","2, передние","","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","LK-2NY","ЛП-4","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","450-4-250
+кран+1СлотБорт","","","2","СейсмоВибратор","","","Платформа эвакуатора с рампой","Azov AM-8 14","170000","10,60","azov_5319.xml","","",""
"Azov 64131","","FALSE","","","","","","Вездеход","$93 800","8x8","Постоянный","Постоянная","47","0,60","47","0,60","350","210000","17794","11,80","Для спецтехники","Средние","2, передние","","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","","","2","СейсмоВибратор","","","Платформа эвакуатора с рампой","Azov AM-8 14","170000","9,55","azov_64131.xml","","",""
"Azov 67096-3N ""Atom""","The Atom DLC","FALSE","","","","","","Тяжелый","$151 000","8x8","Подключаемый","Постоянная","50","0,63","50","0,63","350","235000","17173","13,68","Для спецтехники","Тяжелые","2, передние","","","","","","ATHS","","OHS;
JAT OHS (DLC);
Azov Atom tires","DMHS;
JAT MHS (DLC)","","MHS chains","200","","Atom tires
JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","","LK-2NY","ЛП-4","","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +кран +прицеп","","Оба седла+кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","300-4-2500","","150-0-120","450-4-2620;
150-0-2920","","","","","","Azov AM-8 14","170000","9,90","azov_670963n.xml","","",""
"Azov 73210","","TRUE","Уровень водителя","20","","","","Тяжелый","$89 100","10x10","Постоянный","Постоянная","50","0,63","50","0,63","350","260000","20045","12,97","Для спецтехники","Тяжелые","3, 2 передние + 1 задняя","","","","Активная","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","LK-2NY","ЛП-4","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","3-слотовая платформа","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","350-6-2000","450-4-250
+кран+1СлотБорт","","","4","СейсмоВибратор","","","Платформа эвакуатора с рампой","KZGT-8 490","205000","10,23","azov_73210.xml","","",""
"Boar 45318","Year 1 - Season 3","FALSE","","","","","","Тяжелый","$181 000","6x6","Подключаемый","Подключаемая","54","0,69","58","0,74","300","260000","21013","12,37","Грузовые","Тяжелые","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","OHD;
UOD;
JAT OMD (DLC)","","","","OHD chains","","x2","OHD I","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","800-6","","","","","","СейсмоВибратор","","","","KZGT-8 490","205000","9,76","boar_45318.xml","","",""
"Burlak 6x6","Year 3 - Season 11","TRUE","Поручение","","Scandinavia","Mountain Ridge","""Troll Tamer""","Скаут","$115 600","6x6","Подключаемый","Подключаемая","69","0,88","69","0,88","280","80000","5239,5","15,27","Для спецтехники","Лёгкие","1, передняя","","","","","","","","","","Burlak tires","Burlak tires","200","","Burlak tires","Грузовые прицепы","Скаутские прицепы","","","","","","IM50 (Burlak)","","","","1-слотовая
платформа +кран +прицеп","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","150-1-100","","450-0-80","600-1-180","","","","","","TAG-404","80000","15,27","burlak_6x6.xml","","",""
"Caterpillar 745C","","TRUE","Поручение","","Alaska","Mountain River","""Working Stiff""","Тяжелый","$129 400","6x6","Постоянный","Подключаемая","71","0,90","71","0,90","340","250000","28615","8,74","Для спецтехники","Тяжелые","0, сочлененная рама","","","","","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","2-слотовая
платформа +прицеп","","","","","Средний лесовоз + прицеп","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1600","","","300-2-1100","","","","","","","","","A16V-2000","200000","6,99","cat_745c.xml","","",""
"Caterpillar 770G","Year 1 - Season 2","TRUE","Контракт","","Yukon","Flooded Foothills","""Dump Truck for Dump Truck""","Тяжелый","$169 800","4x2","Нет","Постоянная","74","0,94","74","0,94","530","250000","28868","8,66","Для спецтехники","Тяжелые","1, передняя","","","","","","","CAT 770G tires","","JAT MSH (DLC)","","","600","x2","CAT 770G tires","Грузовые прицепы","","","Седло CAT 770G","","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","2000","","","500-3-900","","","","","","","","","A16V-2000","200000","6,93","cat_770g.xml","","",""
"Caterpillar CT680","","TRUE","Уровень водителя","12","","","","Грузовой","$58 300","6x6","Подключаемый","Подключаемая","43","0,55","47","0,60","280","192000","8224","23,35","Грузовые","Средние","1, передняя","","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск","","","ДА","1800","1800","800-6","300-5-1400","","","","2","","Металло-
детектор","МД+НизкоеСедло","Платформа эвакуатора с рампой","Gb-8V 2300c","160000","19,46","cat_ct680.xml","","",""
"Caterpillar CT681","Anniversary DLC (free)","FALSE","","","","","","Грузовой","$78 800","8x6","Подключаемый","Подключаемая","43","0,55","47","0,60","260","210000","8448","24,86","Грузовые","Средние","1, передняя","","","","Подъёмная ось","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск","","","ДА","1800","1800","800-6","300-5-1400","","","","","","","","Платформа эвакуатора с рампой","Gb-8V 2300c","160000","18,94","cat_ct681.xml","","",""
"Caterpillar TH357","Year 1 - Season 2","TRUE","Разведка","","Yukon
Ontario","Flooded Foothills;
Big Salmon Peak;
The Albany River","","Скаут","$123 800","4x4","Постоянный","Постоянная","51","0,65","51","0,65","110","90000","6505","13,84","Для спецтехники","Лёгкие","2, перед + зад","","","","","","","","","CAT TH357 tires","","","200","","CAT TH357 tires","","","","","","","","Узкие/Широкие вилы","","","","","","","","","","","","","","","","","","","","","","","","","","","Het/4 Ace 106kW","90000","13,84","cat_th357.xml","","",""
"Chevrolet Apache","Classico Pack","FALSE","","","","","","Скаут","$42 200","6x6","Подключаемый","Постоянная","44","0,56","44","0,56","95","62000","3020,5","20,53","Скаутские","Лёгкие","1, передняя","","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
TO I (Apache)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","100","","JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","150-2-80
450-0-240","","150-4-120","300-6-200;
600-4-380","","","","","","AAT-6V 4,0","35000","11,59","chevy_apache.xml","","",""
"Chevrolet CK1500","","FALSE","","","Michigan
Belozersk Glades","Black River;
Smithville Dam;
Crossroads","","Скаут","$11 300","4x4","Подключаемый","Подключаемая","33","0,42","41","0,52","80","62000","2502","24,78","Скаутские","Лёгкие","1, передняя","Высокая","","Всепроходная","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT OS IV
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","150-2-0
300-6-120","","0-2-40
150-2-80","300-8-160;
450-8-200","","","","","","AAT-6V 4,0","35000","13,99","chevrolet_ck1500.xml","","",""
"Chevrolet Kodiak C70","","FALSE","","","Michigan
Yukon","Black River;
Flooded Foothills","""Lost en Route""","Грузовой","$33 800","4x4","Подключаемый","Подключаемая","39","0,50","43","0,55","200","145000","8121","17,85","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск","","","","1800","1800","800-6","","","","","2","","Металло-
детектор","МД+НизкоеСедло
МД+ВысокоеСедло","Подвижная платформа эвакуатора ","Si-6V/1900","135000","16,62","chevrolet_kodiakc70.xml","","",""
"DAN 96320","","TRUE","Поручение","","Taymyr","Quarry","""Lost In The Woods""","Тяжелый","$129 400","6x6","Постоянный","Постоянная","51","0,65","51","0,65","350","260000","16612","15,65","Для спецтехники","Тяжелые","1, передняя","","","","Активная","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","","Avto-23","","","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +прицеп","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","450-4-250
+кран+1СлотБорт","","","2","","","","","KZGT-8 490","205000","12,34","dan_96320.xml","","",""
"Derry Longhorn 3194","","TRUE","Поручение","","Alaska","White Valley","""Pluck The Stuck Truck""","Тяжелый","$133 900","8x6","Постоянный","Постоянная","52","0,66","52","0,66","370","210000","22432","9,36","Грузовые","Тяжелые","1, передняя","","","","Подъёмная ось","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","4","","","","","A12V-780","175000","7,80","derry_longhorn_3194.xml","","",""
"Derry Longhorn 4520","","TRUE","Уровень водителя","24","","","","Тяжелый","$146 300","8x8","Подключаемый","Подключаемая","50","0,64","50","0,64","400","230000","26654","8,63","Грузовые","Тяжелые","2, 1 передняя +1 задняя","","","","","","ATHS;
ATMD singles","","OHS;
JAT OHS (DLC);
OHD singles;
Derry 4520 tires","DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II
JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","2","","","","","Si-8V/2300","160000","6,00","derry_longhorn_4520.xml","","",""
"Derry Special 15C-177","Year 3 - Season 9","TRUE","Контракт","","Ontario","The Albany River","""Looking For The Fire Monster""","Тяжелый","$180 000","8x8","Постоянный","Подключаемая","55","0,70","55","0,70","380","280000","29097","9,62","Для спецтехники","Тяжелые","2, передние","","","","Активная","","ATHS","","OHS;
JAT OHS (DLC);
Derry Special tires","MHS II;
JAT MHS (DLC)","","MHS chains","500","","Derry Special tires
MHS II","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","LK-2NY","","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","","","Высокое седло + кран","Укороченный лесовоз +Прицеп","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","","2200","","300-5-1400","450-4-250
+кран+1СлотБорт","300-0-120","750-5-370;
600-6-1520","2","СейсмоВибратор","","","","A16V-2000","200000","6,87","derry_special_15c177.xml","","",""
"DON 71","","FALSE","","","","","","Скаут","$12 700","4x4","Подключаемый","Подключаемая","28","0,35","35","0,45","42","72000","1510","47,68","Скаутские","Лёгкие","1, передняя","Высокая","Заказная","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT OS IV
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","0-2-60
150-2-40","","2","","","","","Kr 71.C","25000","16,56","don_71.xml","","",""
"EarthRoamer LTi","Year 4
Season 14","TRUE","Контракт","","Austria","Unterfeld","""Taking Stock of the Damage""","Скаут","$74 800","4x4","Подключаемый","Подключаемая","43","0,55","46","0,58","260","120000","6685","17,95","Скаутские","Лёгкие","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","EarthRoamer","","","UAD chains","100","x2","EarthRoamer","Грузовые прицепы","Скаутские прицепы","","","","","","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","450-4-160","","Radar","","2","","","","","Het/8V 5,8","90000","13,46","earthroamer_lti.xml","","",""
"EarthRoamer SX","Year 4
Season 14","TRUE","Поручение","","Austria","Foothills","""The Quick and the Crashed""","Скаут","$79 100","4x4","Подключаемый","Постоянная","43","0,55","46","0,59","280","120000","8293","14,47","Скаутские","Лёгкие","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","EarthRoamer","","","UAD chains","100","x2","UOD II","Грузовые прицепы","Скаутские прицепы","","","","","","","","","","","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","500-4-160","","Radar","","2","","","","","Het/8V 5,8","90000","10,85","earthroamer_sx.xml","","",""
