"Make and Model Марка и модель","DLC Required Требуемое DLC","Needs to be unlocked Нужно ли открывать","Unlocked by Открывается по","Rank
requirement Требуемый уровень","Found in region Находится в регионе","Found on map Находится на карте","Contract or task name for unlock Название контракта/поручения для открытия","Vehicle Class Класс авто","Truck Store Price Цена в магазине грузовиков","Drivetrain Тип привода","All-wheel drive Полный привод","Differential locking Блокировка дифференциала","Tire Diameter Stock (in) Диаметр колёс в стоке (дюймы)","Tire Diameter Max (in) Макс. диаметр колёс (дюймы)","Fuel Capacity (L) Объем бака (л)","Top Engine Torque Крут. момент топ движка","Total Mass with wheels Полная масса c колёсами","Torque to Mass Ratio Отношение момент/масса","Gearboxes Коробки передач","Winches Лебёдки","Steering axles Поворотные оси","Raised Suspension Высокая подвеска","Custom Suspension Заказная подвеска","Active Suspension Активная подвеска","Double all-terrain tires Спаренные вседорожные шины","Single all-terrain tires Одинарные вседорожные шины","Double offroad tires Спаренные внедорожные шины","Single offroad tires Одинарные внедорожные шины","Mud tires Шины для грязи","Flotation tires Болотные шины","Chained tires Шины с цепями","Mass per tire Масса каждой шины","Rear axle mass scale (for doubles) Умножение массы для задней оси","Recommended by VladVulcan VladVulcan рекомендует","Truck Trailer Грузовые прицепы","Scout Trailer Скаутские прицепы","Farming Trailer Сельхоз прицепы","Saddle Low Низкое седло","Saddle Low Tankers Бочки под низкое седло","Saddle High Высокое седло","Saddle High Tanker Бочка под высокое седло","Loading Crane Манипулятор","Big Crane Большой кран","Superheavy Crane Сверхтяжелый кран","Log Crane Кран для бревен","1-slot Bed 1-слотовая платформа","2-slot Bed 2-слотовая платформа","3-slot Bed  3-слотовая платформа","4-slot Bed  4-слотовая платформа","Crane + Saddle combo  КОМБО: кран + седло ","Short Log Addon Модуль для коротких брёвен","Medium Log Addon Модуль для средних брёвен","Log Carrier Front (Long logs) Роспуск для длинных брёвен","LogCrane + LowSaddle Combo КОМБО: кран ЛП-4 и низкое седло","Futom Logging Trailers Прицепы-лесовозы Futom","Foldable Logging Semitrailer (Long Logs) Складной полуприцеп-лесовоз (длинные бревна)","Frame Fuel Tank (L) Бак для топлива (л)","Frame Water Tank (L) Бак для воды (л)","Van Body Addon (Repairs - Wheels) Ремонтный кунг (ремонт - запаски)","Frame Maintenance Addon (Repairs - Wheels - Fuel) Сервисный модуль для ТО (ремонт - запаски - литры)","Multi-purpose Cargo Module
(Repairs - Wheels - Fuel) Многоцелевой грузовой модуль
(ремонт - запаски - литры)","Roof Rack with supplies (Repairs -Wheels - Fuel) Багажник на крышу и/или в кузов (ремонт - запаски - литры)","Maximum Supplies
(Repairs -Wheels - Fuel) Максимум припасов
(ремонт - запаски - литры)","Spare wheel addon (Pcs) Запасное колесо (шт.)","Seismic Vibrator Сейсмовибратор","Metal Detector Металло-
детектор","Metal Detector+ anything combo КОМБО: детектор + что-то еще","Towing Platform Платформа эвакуатора","Base Engine Базовый движок","Stock Torque Крутящий
момент в стоке","Torque-to-Mass ratio
stock Отношение
крут. момент/масса
в стоке","Truck file name
in the initial.pak Имя файла грузовика
в архиве игры","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Driver's Rank or Exploration","","","","","","","","","","","","","","","","","Unique offroad (M916)+
Finetune (M916)","","2, 1 front +1 rear","Raised","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800-6","","","","","","","","MD+1-slotSB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Уровень водителя или Разведка","","","","","","","","","","","","","","","","","Уникальный вездеход (M916)+
Точная регулировка (M916)","","2, 1 передняя +1 задняя","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150-1-100","","450-0-80","","","","","МД+1СлотБорт","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Truck+
Multipurpose (M917)","","4, front+rear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Грузовые+
Шир. назначения
(M917)","","4, перед+зад","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Special+
Multipurpose (PLAD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","1800","800-6","300-5-1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Для спецтехники+
Шир. назначения (PLAD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","1800","800-6","300-5-1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Scout+
Special (Tank)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Скаутские+
Специальная (Tank)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Unique offroad
(Voron D)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Уникальный вездеход (Voron D)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Truck+
Multipurpose (Pinnacle)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Грузовые+
Шир. назначения
(Pinnacle)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Truck+
Multipurpose (Terra Pro)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Грузовые+
Шир. назначения
(Terra Pro)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Special (Ankantra)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Для спецтехники (Ankatra)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Special+
Multipurpose (Sleiter)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Для спецтехники+
Шир. назначения (Sleiter)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Truck+
Custom (Mercer)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Грузовые+
Заказная (Mercer)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Jangsu special","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","КПП Jangsu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Voron G special","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","КПП Voron G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome! ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
