"English Season 18 Last Updated:
June 26th, 2026 This work was made possible thanks to J.S. Mill and his orignal spreadsheet here Make and Model","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  DLC Required","Needs to be unlocked","Unlocked by","Rank
requirement","Found in region","Found on map","Contract or task name for unlock","Vehicle Class","Truck Store Price","Drivetrain","All-wheel drive","Differential locking","Tire Diameter Stock (in)","Scale stock","Tire Diameter Max (in)","Scale max","Fuel Capacity (L)","Top Engine Torque","Total Mass with wheels","Torque to Mass Ratio","Gearboxes","Winches","Steering axles","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Raised Suspension","Custom Suspension","Crawler
Suspension","Active Suspension","Double all-terrain tires","Single all-terrain tires","Double offroad tires","Single offroad tires","Mud tires","Flotation tires","Chained tires","Mass per tire","Rear axle mass scale (for doubles)","Recommended by VladVulcan","Truck Trailer","Scout Trailer","Farming Trailer","Saddle Low","Saddle Low Tankers","Saddle High","Saddle High Tanker","Loading Crane","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Big Crane","Superheavy Crane","Log Crane","1-slot Bed","2-slot Bed","3-slot Bed ","4-slot Bed ","Crane + Saddle combo ","Short Log Addon","Medium Log Addon","Log Carrier Front (Long logs)","LogCrane + LowSaddle Combo","Futom Logging Trailers","Foldable Logging Semitrailer (Long Logs)","Frame Fuel Tank (L)","Frame Water Tank (L)","Van Body Addon (Repairs - Wheels)","Frame Maintenance Addon (Repairs - Wheels - Fuel)","Multi-purpose Cargo Module
(Repairs - Wheels - Fuel)","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Roof Rack with supplies (Repairs -Wheels - Fuel)","Maximum Supplies
(Repairs -Wheels - Fuel)","Spare wheel addon (Pcs)","Seismic Vibrator","Metal Detector","Metal Detector+ anything combo","Towing Platform","Base Engine","Stock Torque","Torque-to-Mass ratio
stock","Truck file name
in the initial.pak","","",""
"Azov 5319","","TRUE","Driver's Rank","14","","","","Offroad","$82 100","8x8","Always On","Always On","50","0,63","50","0,63","200","210000","16033","13,10","Truck","Medium","2, front","","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","LK-2NY","LP-4","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","450-4-250
+Crane +1SlotBed","","","2","SeismicVibrator","","","Ramped Towing Platform","Azov AM-8 14","170000","10,60","azov_5319.xml","","",""
"Azov 64131","","FALSE","","","","","","Offroad","$93 800","8x8","Always On","Always On","47","0,60","47","0,60","350","210000","17794","11,80","Special","Medium","2, front","","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","2","SeismicVibrator","","","Ramped Towing Platform","Azov AM-8 14","170000","9,55","azov_64131.xml","","",""
"Azov 67096-3N ""Atom""","The Atom DLC","FALSE","","","","","","Heavy","$151 000","8x8","Switchable","Always On","50","0,63","50","0,63","350","235000","17173","13,68","Special","Heavy","2, front","","","","","","ATHS","","OHS;
JAT OHS (DLC);
Azov Atom tires","DMHS;
JAT MHS (DLC)","","MHS chains","200","","Atom tires
JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","","LK-2NY","LP-4","","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo
Bed +Crane +Trailer","","Both saddles + crane","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","","","","","300-4-2500","","150-0-120","450-4-2620;
150-0-2920","","","","","","Azov AM-8 14","170000","9,90","azov_670963n.xml","","",""
"Azov 73210","","TRUE","Driver's Rank","20","","","","Heavy","$89 100","10x10","Always On","Always On","50","0,63","50","0,63","350","260000","20045","12,97","Special","Heavy","3, 2 front + 1 rear","","","","Active","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","LK-2NY","LP-4","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","3-slot Cargo Bed","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","350-6-2000","450-4-250
+Crane +1SlotBed","","","4","SeismicVibrator","","","Ramped Towing Platform","KZGT-8 490","205000","10,23","azov_73210.xml","","",""
"Boar 45318","Year 1 - Season 3","FALSE","","","","","","Heavy","$181 000","6x6","Switchable","Switchable","54","0,69","58","0,74","300","260000","21013","12,37","Truck","Heavy","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","OHD;
UOD;
JAT OMD (DLC)","","","","OHD chains","","x2","OHD I","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","","","800-6","","","","","","SeismicVibrator","","","","KZGT-8 490","205000","9,76","boar_45318.xml","","",""
"Burlak 6x6","Year 3 - Season 11","TRUE","Task","","Scandinavia","Mountain Ridge","""Troll Tamer""","Scout","$115 600","6x6","Switchable","Switchable","69","0,88","69","0,88","280","80000","5239,5","15,27","Special","Scout","1, front","","","","","","","","","","Burlak tires","Burlak tires","200","","Burlak tires","Truck Trailer","Scout Trailer","","","","","","IM50 (Burlak)","","","","1-slot cargo
Bed +Crane +Trailer","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","150-1-100","","450-0-80","600-1-180","","","","","","TAG-404","80000","15,27","burlak_6x6.xml","","",""
"Caterpillar 745C","","TRUE","Task","","Alaska","Mountain River","""Working Stiff""","Heavy","$129 400","6x6","Always On","Switchable","71","0,90","71","0,90","340","250000","28615","8,74","Special","Heavy","0, articulated","","","","","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","2-slot cargo Bed +Trailer","","","","","MediumLogs +Trailer","","","Futom-S logging trailer
Futom-M logging trailer","","1600","","","300-2-1100","","","","","","","","","A16V-2000","200000","6,99","cat_745c.xml","","",""
"Caterpillar 770G","Year 1 - Season 2","TRUE","Contract","","Yukon","Flooded Foothills","""Dump Truck for Dump Truck""","Heavy","$169 800","4x2","None","Always On","74","0,94","74","0,94","530","250000","28868","8,66","Special","Heavy","1, front","","","","","","","CAT 770G tires","","JAT MSH (DLC)","","","600","x2","CAT 770G tires","Truck Trailer","","","CAT 770G saddle","","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","2000","","","500-3-900","","","","","","","","","A16V-2000","200000","6,93","cat_770g.xml","","",""
"Caterpillar CT680","","TRUE","Driver's Rank","12","","","","Heavy Duty","$58 300","6x6","Switchable","Switchable","43","0,55","47","0,60","280","192000","8224","23,35","Truck","Medium","1, front","","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront","","","YES","1800","1800","800-6","300-5-1400","","","","2","","Metal Detector","MD+SaddleLow","Ramped Towing Platform","Gb-8V 2300c","160000","19,46","cat_ct680.xml","","",""
"Caterpillar CT681","Anniversary DLC (free)","FALSE","","","","","","Heavy Duty","$78 800","8x6","Switchable","Switchable","43","0,55","47","0,60","260","210000","8448","24,86","Truck","Medium","1, front","","","","Dead Axle","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront","","","YES","1800","1800","800-6","300-5-1400","","","","","","","","Ramped Towing Platform","Gb-8V 2300c","160000","18,94","cat_ct681.xml","","",""
"Caterpillar TH357","Year 1 - Season 2","TRUE"," Exploration","","Yukon
Ontario","Flooded Foothills;
Big Salmon Peak;
The Albany River","","Scout","$123 800","4x4","Always On","Always On","51","0,65","51","0,65","110","90000","6505","13,84","Special","Scout","2, front+rear","","","","","","","","","CAT TH357 tires","","","200","","CAT TH357 tires","","","","","","","","Narrow/Wide Forks","","","","","","","","","","","","","","","","","","","","","","","","","","","Het/4 Ace 106kW","90000","13,84","cat_th357.xml","","",""
"Chevrolet Apache","Classico Pack","FALSE","","","","","","Scout","$42 200","6x6","Switchable","Always On","44","0,56","44","0,56","95","62000","3020,5","20,53","Scout","Scout","1, front","","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
TO I (Apache)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","100","","JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","150-2-80
450-0-240","","150-4-120","300-6-200;
600-4-380","","","","","","AAT-6V 4,0","35000","11,59","chevy_apache.xml","","",""
"Chevrolet CK1500","","FALSE","","","Michigan
Belozersk Glades","Black River;
Smithville Dam;
Crossroads","","Scout","$11 300","4x4","Switchable","Switchable","33","0,42","41","0,52","80","62000","2502","24,78","Scout","Scout","1, front","Raised","","Crawler","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT OS IV
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","150-2-0
300-6-120","","0-2-40
150-2-80","300-8-160;
450-8-200","","","","","","AAT-6V 4,0","35000","13,99","chevrolet_ck1500.xml","","",""
"Chevrolet Kodiak C70","","FALSE","","","Michigan
Yukon","Black River;
Flooded Foothills","""Lost en Route""","Heavy Duty","$33 800","4x4","Switchable","Switchable","39","0,50","43","0,55","200","145000","8121","17,85","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront","","","","1800","1800","800-6","","","","","2","","Metal Detector","MD+SaddleHigh
MD+SaddleLow","Articulated Towing Platform","Si-6V/1900","135000","16,62","chevrolet_kodiakc70.xml","","",""
"DAN 96320","","TRUE","Task","","Taymyr","Quarry","""Lost In The Woods""","Heavy","$129 400","6x6","Always On","Always On","51","0,65","51","0,65","350","260000","16612","15,65","Special","Heavy","1, front","","","","Active","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","MHS chains","200","","JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","","Avto-23","","","Multi-purpose Cargo Module +Trailer","2-slot cargo Bed +Trailer","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","450-4-250
+Crane +1SlotBed","","","2","","","","","KZGT-8 490","205000","12,34","dan_96320.xml","","",""
"Derry Longhorn 3194","","TRUE","Task","","Alaska","White Valley","""Pluck The Stuck Truck""","Heavy","$133 900","8x6","Always On","Always On","52","0,66","52","0,66","370","210000","22432","9,36","Truck","Heavy","1, front","","","","Dead Axle","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","4","","","","","A12V-780","175000","7,80","derry_longhorn_3194.xml","","",""
"Derry Longhorn 4520","","TRUE","Driver's Rank","24","","","","Heavy","$146 300","8x8","Switchable","Switchable","50","0,64","50","0,64","400","230000","26654","8,63","Truck","Heavy","2, 1 front +1 rear","","","","","","ATHS;
ATMD singles","","OHS;
JAT OHS (DLC);
OHD singles;
Derry 4520 tires","DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II
JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","2","","","","","Si-8V/2300","160000","6,00","derry_longhorn_4520.xml","","",""
"Derry Special 15C-177","Year 3 - Season 9","TRUE","Contract","","Ontario","The Albany River","""Looking For The Fire Monster""","Heavy","$180 000","8x8","Always On","Switchable","55","0,70","55","0,70","380","280000","29097","9,62","Special","Heavy","2, front","","","","Active","","ATHS","","OHS;
JAT OHS (DLC);
Derry Special tires","MHS II;
JAT MHS (DLC)","","MHS chains","500","","Derry Special tires
MHS II","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","LK-2NY","","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","","","Saddle High + crane","Short Logs Addon +Trailer","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","","2200","","300-5-1400","450-4-250
+Crane +1SlotBed","300-0-120","750-5-370;
600-6-1520","2","SeismicVibrator","","","","A16V-2000","200000","6,87","derry_special_15c177.xml","","",""
"DON 71","","FALSE","","","","","","Scout","$12 700","4x4","Switchable","Switchable","28","0,35","35","0,45","42","72000","1510","47,68","Scout","Scout","1, front","Raised","Custom Tuned","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT OS IV
JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","0-2-60
150-2-40","","2","","","","","Kr 71.C","25000","16,56","don_71.xml","","",""
"EarthRoamer LTi","Year 4
Season 14","TRUE","Contract","","Austria","Unterfeld","""Taking Stock of the Damage""","Scout","$74 800","4x4","Switchable","Switchable","43","0,55","46","0,58","260","120000","6685","17,95","Scout","Scout","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","EarthRoamer","","","UAD chains","100","x2","EarthRoamer","Truck Trailer","Scout Trailer","","","","","","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","450-4-160","","Radar","","2","","","","","Het/8V 5,8","90000","13,46","earthroamer_lti.xml","","",""
"EarthRoamer SX","Year 4
Season 14","TRUE","Task","","Austria","Foothills","""The Quick and the Crashed""","Scout","$79 100","4x4","Switchable","Always On","43","0,55","46","0,59","280","120000","8293","14,47","Scout","Scout","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","EarthRoamer","","","UAD chains","100","x2","UOD II","Truck Trailer","Scout Trailer","","","","","","","","","","","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","","","","500-4-160","","Radar","","2","","","","","Het/8V 5,8","90000","10,85","earthroamer_sx.xml","","",""
"FEMM 37 AT","Year 3 - Season 12","TRUE","Contract","","North Carolina","Oviro Hills","""Abandoned Giant""","Heavy","$208 600","6x6","Always On","Switchable","71","0,90","71","0,90","340","288000","29638","9,72","Special","Heavy","0, articulated","","","","","","","","","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","","LK-2NY","","","","3-slot cargo
Bed +Crane +Trailer","4-slot cargo Bed +Trailer","Saddle High + crane","","","","","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","","350-6-2000","","150-0-140","500-6-2140","","","","","","KZGT-8 490","205000","6,92","femm_37at.xml","","",""
"Ford CLT 9000","","FALSE","","","","","","Highway","$41 300","6x4","None","None","39","0,50","43","0,55","280","155000","8171","18,97","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","JAT OMD I
UOD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront","","","YES","1800","1800","800-6","300-5-1400","","","","2","","Metal Detector","MD+SaddleHigh
MD+SaddleLow","Ramped Towing Platform","Si-6V/1900","135000","16,52","ford_clt9000.xml","","",""
"Ford F750","Year 1 - Season 1","TRUE","Task","","Kola Peninsula","Lake Kovd","""Foreigner""","Scout","$54 400","4x4","Switchable","Always On","37","0,47","45","0,57","140","120000","7114","16,87","Custom","Scout","1, front","Raised","Custom Tuned","","","","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II","Truck Trailer","Scout Trailer","","","","","","LC 3.8","","","","1-slot cargo
Bed +Crane +Trailer","","","","","","","","","","","","","","600-6-120
900-8-240","","0-2-100 (roof);
50-4-20 (crane slot)","650-12-240;
950-14-360","","","","","","AAT-6V 4,0","35000","4,92","ford_f750.xml","","",""
